 INFO  Accepting connections at http://localhost:3000
 HTTP  3/20/2026 4:53:41 AM ::1 GET /hoja_personaje.html
 HTTP  3/20/2026 4:53:41 AM ::1 Returned 301 in 319 ms
 HTTP  3/20/2026 4:53:42 AM ::1 GET /hoja_personaje
 HTTP  3/20/2026 4:53:42 AM ::1 Returned 200 in 15 ms
 HTTP  3/20/2026 4:53:42 AM ::1 GET /styles/menus/char-sheet.css
 HTTP  3/20/2026 4:53:42 AM ::1 GET /styles/menus/char-sheet-inline.css
 HTTP  3/20/2026 4:53:42 AM ::1 Returned 200 in 3 ms
 HTTP  3/20/2026 4:53:42 AM ::1 Returned 200 in 6 ms
 HTTP  3/20/2026 4:53:42 AM ::1 GET /src/features/character-sheet-inline.js
 HTTP  3/20/2026 4:53:42 AM ::1 GET /js/utils.js
 HTTP  3/20/2026 4:53:42 AM ::1 GET /src/features/character-sheet.js
 HTTP  3/20/2026 4:53:42 AM ::1 Returned 200 in 14 ms
 HTTP  3/20/2026 4:53:42 AM ::1 Returned 200 in 15 ms
 HTTP  3/20/2026 4:53:42 AM ::1 Returned 200 in 23 ms
 HTTP  3/20/2026 4:53:42 AM ::1 GET /src/core/firebase-config.js
 HTTP  3/20/2026 4:53:42 AM ::1 Returned 200 in 6 ms
 HTTP  3/20/2026 4:55:09 AM ::1 GET /index.html
 HTTP  3/20/2026 4:55:09 AM ::1 Returned 301 in 1 ms
 HTTP  3/20/2026 4:55:09 AM ::1 GET /index
 HTTP  3/20/2026 4:55:09 AM ::1 Returned 301 in 0 ms
 HTTP  3/20/2026 4:55:09 AM ::1 GET /
 HTTP  3/20/2026 4:55:09 AM ::1 Returned 200 in 2 ms
 HTTP  3/20/2026 4:55:09 AM ::1 GET /styles/layout/main.css
 HTTP  3/20/2026 4:55:09 AM ::1 GET /src/core/firebase-config.js
 HTTP  3/20/2026 4:55:09 AM ::1 GET /src/features/login.js
 HTTP  3/20/2026 4:55:09 AM ::1 Returned 200 in 2 ms
 HTTP  3/20/2026 4:55:09 AM ::1 Returned 200 in 7 ms
